size_category,records_processed_category,profile,use_exclusive_locks,copy_mode,ignore_exit_errors,status,parallel_number,lock_source_client,ignore_table_errors,use_table_segmenter,records_processed_bin,size_in_bytes_bin,LassoCV Regularization0,runtime_in_seconds
2,2,1,0,0,1,0,0.3333333333333333,1,0,0,1,1,1838.594012354742,2423.0
2,2,1,1,0,1,0,0.3333333333333333,1,0,1,1,1,1694.056999380997,2083.0
1,1,1,1,0,1,0,0.3333333333333333,1,0,1,1,1,1798.9327574813583,1707.0
2,2,1,0,0,1,0,0.3333333333333333,0,0,0,1,1,2189.4948554831376,1369.0
2,2,1,0,0,1,0,0.0,1,0,0,1,1,1808.82718212605,2715.0
3,3,4,1,0,1,0,0.3333333333333333,1,0,0,0,0,526.819161210709,385.0
0,0,3,0,3,1,1,0.3333333333333333,0,0,0,1,1,960.9395471550113,15196.599999999995
3,0,9,0,0,0,0,0.3333333333333333,1,1,0,0,0,-430.1481758503817,587.0
3,0,4,1,0,1,0,0.3333333333333333,1,0,0,0,0,420.18858912856456,535.0
2,2,1,0,0,1,0,0.3333333333333333,0,0,0,1,1,2009.5667486378825,1843.0
3,3,8,1,0,0,0,0.3333333333333333,0,1,0,0,0,51.07970545255125,514.0
2,2,1,1,0,1,0,0.3333333333333333,1,0,1,1,1,1792.449268978493,1690.0
0,0,1,0,0,1,0,0.0,1,0,0,1,1,1449.0737677751413,1031.0
1,1,1,0,0,1,0,0.3333333333333333,0,0,0,1,1,2090.9394925255847,1456.0
1,1,1,0,0,0,0,0.3333333333333333,1,1,0,1,1,1780.7192851073332,1466.0
0,1,3,0,2,1,0,0.3333333333333333,0,0,0,1,1,1794.9986575005871,81.0
1,2,1,0,0,1,0,0.0,1,0,0,1,1,1629.4974439921937,1671.0
0,0,1,0,0,1,0,0.0,1,0,0,1,1,1521.1432817796895,1704.0
2,2,1,0,0,0,0,0.3333333333333333,1,1,0,1,1,1785.3897568465413,2463.0
2,1,1,0,0,1,0,0.3333333333333333,0,0,0,1,1,1967.5208101275257,1920.0
1,1,1,0,0,0,1,0.3333333333333333,1,1,0,1,1,1962.5506385711876,1798.0
3,3,7,0,6,0,0,0.3333333333333333,0,1,0,0,0,-101.6423437329388,78.0
2,2,1,1,0,1,0,0.3333333333333333,1,0,0,1,1,2072.742278539638,2104.0
3,3,3,0,0,0,1,0.3333333333333333,1,1,0,0,0,722.1879800273957,98.0
0,1,7,0,6,0,0,0.3333333333333333,0,1,0,1,1,1070.0659535373115,69.0
3,3,1,0,5,0,1,0.0,0,0,0,0,0,706.5279728051798,44.0
3,3,8,1,0,0,0,0.3333333333333333,0,1,0,0,0,59.91596238651027,495.0
0,1,3,1,0,1,1,0.3333333333333333,1,0,1,1,1,1636.4763011513062,1007.0
3,3,5,0,3,1,0,0.3333333333333333,0,0,0,0,0,372.5983941393905,388.0
0,1,3,0,0,0,0,0.3333333333333333,1,1,0,1,1,1277.5360031504752,372.0
3,3,4,0,0,1,0,0.3333333333333333,1,0,0,0,0,292.9794443539665,58.0
2,2,1,0,0,1,0,0.3333333333333333,0,0,0,1,1,2009.5667486378825,2092.0
2,2,1,0,0,1,0,0.0,1,0,0,1,1,1714.1739315860366,2120.0
2,2,1,0,0,0,0,0.3333333333333333,1,1,0,1,1,1785.3897568465413,2362.0
3,3,7,0,6,0,0,0.3333333333333333,0,1,0,0,0,-194.21209954791755,188.0
